regime,setting,length,prompts,responses,detected,metric,mean,ci95_low,ci95_high,source
8b_full,prc,400,50,100,55,distinct_3,0.9747487437185929,0.9690445979899497,0.9798241206030152,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json;outputs/self_bleu_depth/depth2_30_v1/summary.json;outputs/self_bleu_temperature/t07_v1/summary.json
8b_full,prc,400,50,100,55,repeated_4gram_fraction,0.010856423173803522,0.007707178841309817,0.014458438287153647,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json;outputs/self_bleu_depth/depth2_30_v1/summary.json;outputs/self_bleu_temperature/t07_v1/summary.json
8b_full,prc,400,50,100,55,self_bleu,0.0190055747299281,0.016402713073939156,0.021819804970285548,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json;outputs/self_bleu_depth/depth2_30_v1/summary.json;outputs/self_bleu_temperature/t07_v1/summary.json
8b_full,prc,400,50,100,55,tpr,0.55,0.44,0.65,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json;outputs/self_bleu_depth/depth2_30_v1/summary.json;outputs/self_bleu_temperature/t07_v1/summary.json
8b_full,prc,1024,50,100,97,distinct_3,0.9561448140900197,0.9462020547945207,0.9651467710371819,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json;outputs/self_bleu_depth/depth2_30_v1/summary.json;outputs/self_bleu_temperature/t07_v1/summary.json
8b_full,prc,1024,50,100,97,repeated_4gram_fraction,0.023829578844270324,0.016816356513222334,0.03162659157688541,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json;outputs/self_bleu_depth/depth2_30_v1/summary.json;outputs/self_bleu_temperature/t07_v1/summary.json
8b_full,prc,1024,50,100,97,self_bleu,0.01889752954559325,0.015809980704885956,0.022274138881550092,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json;outputs/self_bleu_depth/depth2_30_v1/summary.json;outputs/self_bleu_temperature/t07_v1/summary.json
8b_full,prc,1024,50,100,97,tpr,0.97,0.93,1.0,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json;outputs/self_bleu_depth/depth2_30_v1/summary.json;outputs/self_bleu_temperature/t07_v1/summary.json
8b_full,null,400,50,100,,distinct_3,0.9734422110552764,0.9671608040201006,0.9789208542713569,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json;outputs/self_bleu_depth/depth2_30_v1/summary.json;outputs/self_bleu_temperature/t07_v1/summary.json
8b_full,null,400,50,100,,repeated_4gram_fraction,0.012896725440806046,0.00906675062972292,0.01728022670025189,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json;outputs/self_bleu_depth/depth2_30_v1/summary.json;outputs/self_bleu_temperature/t07_v1/summary.json
8b_full,null,400,50,100,,self_bleu,0.01871431954228551,0.015496374379116391,0.02248589711118874,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json;outputs/self_bleu_depth/depth2_30_v1/summary.json;outputs/self_bleu_temperature/t07_v1/summary.json
8b_full,null,1024,50,100,,distinct_3,0.9514481409001958,0.9379043542074365,0.9619667318982387,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json;outputs/self_bleu_depth/depth2_30_v1/summary.json;outputs/self_bleu_temperature/t07_v1/summary.json
8b_full,null,1024,50,100,,repeated_4gram_fraction,0.029245837414299706,0.019647404505386875,0.043282321253672866,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json;outputs/self_bleu_depth/depth2_30_v1/summary.json;outputs/self_bleu_temperature/t07_v1/summary.json
8b_full,null,1024,50,100,,self_bleu,0.01927613684808124,0.016487144732791524,0.022289645987971732,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json;outputs/self_bleu_depth/depth2_30_v1/summary.json;outputs/self_bleu_temperature/t07_v1/summary.json
8b_full,textseal_off,400,50,100,100,distinct_3,0.8844221105527638,0.8562531407035177,0.9106281407035176,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json
8b_full,textseal_off,400,50,100,100,repeated_4gram_fraction,0.101183879093199,0.07523740554156172,0.12889294710327454,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json
8b_full,textseal_off,400,50,100,100,self_bleu,0.056320395594601766,0.04580646384137977,0.06747473093276563,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json
8b_full,textseal_off,400,50,100,100,tpr,1.0,1.0,1.0,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json
8b_full,textseal_off,1024,50,100,100,distinct_3,0.6603033268101761,0.6139224559686889,0.7091648727984345,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json
8b_full,textseal_off,1024,50,100,100,repeated_4gram_fraction,0.3217335945151812,0.27153893241919685,0.3695497061704212,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json
8b_full,textseal_off,1024,50,100,100,self_bleu,0.03770003658744605,0.03157400517496907,0.0443996285931615,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json
8b_full,textseal_off,1024,50,100,100,tpr,1.0,1.0,1.0,outputs/self_bleu_repeat/paired_comparison/summary.json;outputs/self_bleu_repeat/matched_repetition/summary.json
